Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA,Map,Rank
sageSage,Sentinel,Weak / C,36.71,-2.39,49.89%,0.75%,131.35,1.34,Abyss,Immortal
skyeSkye,Initiator,Weak / C,37.26,1.31,50.65%,0.32%,133.94,1.4,Abyss,Immortal
sovaSova,Initiator,Strong / S,78.73,4.8,50.45%,12.15%,140.7,1.39,Abyss,Immortal
viperViper,Controller,Fair / B,40.63,12.46,50.59%,0.09%,166.26,1.48,Abyss,Immortal
vyseVyse,Sentinel,Fair / B,44.18,-6.42,50.46%,1.94%,144.12,1.44,Abyss,Immortal
yoruYoru,Duelist,Fair / B,41.33,0.57,49.86%,1.90%,143.24,1.29,Abyss,Immortal
astraAstra,Controller,Not Placed,0.0,NEW,0.00%,0.00%,0.0,0.0,Abyss,Iron
breachBreach,Initiator,Not Placed,0.0,NEW,0.00%,0.00%,0.0,0.0,Abyss,Iron
brimstoneBrimstone,Controller,Not Placed,0.0,NEW,0.00%,0.00%,0.0,0.0,Abyss,Iron
chamberChamber,Sentinel,Not Placed,0.0,NEW,0.00%,0.00%,0.0,0.0,Abyss,Iron
cloveClove,Controller,Not Placed,0.0,NEW,0.00%,0.00%,0.0,0.0,Abyss,Iron
cypherCypher,Sentinel,Not Placed,0.0,NEW,0.00%,0.00%,0.0,0.0,Abyss,Iron
deadlockDeadlock,Sentinel,Not Placed,0.0,NEW,0.00%,0.00%,0.0,0.0,Abyss,Iron
fadeFade,Initiator,Not Placed,0.0,NEW,0.00%,0.00%,0.0,0.0,Abyss,Iron
gekkoGekko,Initiator,Not Placed,0.0,NEW,0.00%,0.00%,0.0,0.0,Abyss,Iron
harborHarbor,Controller,Not Placed,0.0,NEW,0.00%,0.00%,0.0,0.0,Abyss,Iron
isoIso,Duelist,Not Placed,0.0,NEW,0.00%,0.00%,0.0,0.0,Abyss,Iron
jettJett,Duelist,Not Placed,0.0,NEW,0.00%,0.00%,0.0,0.0,Abyss,Iron
kayoKAY/O,Initiator,Not Placed,0.0,NEW,0.00%,0.00%,0.0,0.0,Abyss,Iron
killjoyKilljoy,Sentinel,Not Placed,0.0,NEW,0.00%,0.00%,0.0,0.0,Abyss,Iron
neonNeon,Duelist,Not Placed,0.0,NEW,0.00%,0.00%,0.0,0.0,Abyss,Iron
omenOmen,Controller,Not Placed,0.0,NEW,0.00%,0.00%,0.0,0.0,Abyss,Iron
phoenixPhoenix,Duelist,Not Placed,0.0,NEW,0.00%,0.00%,0.0,0.0,Abyss,Iron
razeRaze,Duelist,Not Placed,0.0,NEW,0.00%,0.00%,0.0,0.0,Abyss,Iron
reynaReyna,Duelist,Not Placed,0.0,NEW,0.00%,0.00%,0.0,0.0,Abyss,Iron
sageSage,Sentinel,Not Placed,0.0,NEW,0.00%,0.00%,0.0,0.0,Abyss,Iron
skyeSkye,Initiator,Not Placed,0.0,NEW,0.00%,0.00%,0.0,0.0,Abyss,Iron
sovaSova,Initiator,Not Placed,0.0,NEW,0.00%,0.00%,0.0,0.0,Abyss,Iron
viperViper,Controller,Not Placed,0.0,NEW,0.00%,0.00%,0.0,0.0,Abyss,Iron
vyseVyse,Sentinel,Not Placed,0.0,NEW,0.00%,0.00%,0.0,0.0,Abyss,Iron
yoruYoru,Duelist,Not Placed,0.0,NEW,0.00%,0.00%,0.0,0.0,Abyss,Iron
astraAstra,Controller,Weak / C,30.89,0.84,49.15%,0.47%,129.89,1.34,Abyss,Placements
breachBreach,Initiator,Fair / B,34.43,6.58,50.03%,1.09%,122.02,1.25,Abyss,Placements
brimstoneBrimstone,Controller,Fair / B,45.16,0.84,49.50%,3.36%,112.27,1.26,Abyss,Placements
chamberChamber,Sentinel,Good / A,50.01,-1.36,49.67%,3.11%,134.66,1.28,Abyss,Placements
cloveClove,Controller,Strong / S,68.53,-1.22,50.88%,4.69%,138.32,1.37,Abyss,Placements
cypherCypher,Sentinel,Good / A,49.0,0.77,49.93%,3.45%,120.28,1.25,Abyss,Placements
deadlockDeadlock,Sentinel,Weak / C,32.46,1.12,49.61%,1.44%,119.59,1.17,Abyss,Placements
fadeFade,Initiator,Weak / C,31.47,-2.37,48.94%,2.14%,110.46,1.14,Abyss,Placements
gekkoGekko,Initiator,Good / A,54.61,-0.13,49.89%,5.09%,112.86,1.11,Abyss,Placements
harborHarbor,Controller,Bad / D,19.89,-0.3,48.39%,0.69%,113.34,1.12,Abyss,Placements
isoIso,Duelist,Good / A,53.01,-0.55,49.62%,3.71%,136.64,1.23,Abyss,Placements
jettJett,Duelist,God / S+,97.06,-0.53,50.22%,10.07%,132.87,1.25,Abyss,Placements
kayoKAY/O,Initiator,Fair / B,32.81,-0.46,48.45%,2.12%,113.9,1.25,Abyss,Placements
killjoyKilljoy,Sentinel,Weak / C,32.22,0.26,49.62%,1.68%,118.53,1.11,Abyss,Placements
neonNeon,Duelist,Good / A,58.01,2.68,49.58%,5.22%,124.17,1.16,Abyss,Placements
omenOmen,Controller,Good / A,56.0,-3.22,48.80%,5.14%,126.52,1.2,Abyss,Placements
phoenixPhoenix,Duelist,Strong / S,73.83,-0.73,49.48%,7.92%,119.17,1.14,Abyss,Placements
razeRaze,Duelist,Fair / B,45.0,-1.36,48.83%,3.32%,131.07,1.19,Abyss,Placements
reynaReyna,Duelist,God / S+,97.42,1.55,49.92%,9.65%,141.68,1.34,Abyss,Placements
sageSage,Sentinel,Strong / S,87.98,-0.07,50.04%,10.25%,105.38,1.13,Abyss,Placements
skyeSkye,Initiator,Bad / D,29.05,2.47,48.85%,1.67%,111.58,1.17,Abyss,Placements
sovaSova,Initiator,Strong / S,64.06,-0.9,49.84%,6.22%,114.97,1.18,Abyss,Placements
viperViper,Controller,Bad / D,24.91,3.32,48.87%,1.25%,116.03,1.07,Abyss,Placements
vyseVyse,Sentinel,Fair / B,39.07,-6.93,49.14%,2.57%,120.68,1.2,Abyss,Placements
yoruYoru,Duelist,Fair / B,43.11,-0.3,48.79%,3.68%,119.95,1.13,Abyss,Placements
astraAstra,Controller,Fair / B,39.81,-3.44,49.38%,2.07%,139.14,1.46,Abyss,Platinum
breachBreach,Initiator,Fair / B,41.71,0.6,49.76%,2.67%,132.95,1.38,Abyss,Platinum
brimstoneBrimstone,Controller,Weak / C,32.51,1.81,49.02%,0.97%,136.21,1.47,Abyss,Platinum
chamberChamber,Sentinel,Good / A,59.75,-0.24,49.99%,5.45%,151.02,1.35,Abyss,Platinum
cloveClove,Controller,Strong / S,90.03,1.52,51.15%,9.82%,154.72,1.52,Abyss,Platinum
cypherCypher,Sentinel,Strong / S,68.23,2.71,50.11%,7.54%,133.98,1.32,Abyss,Platinum
deadlockDeadlock,Sentinel,Fair / B,41.61,0.53,50.47%,2.44%,135.59,1.3,Abyss,Platinum
fadeFade,Initiator,Weak / C,32.11,2.01,49.72%,1.09%,131.42,1.34,Abyss,Platinum
gekkoGekko,Initiator,Good / A,60.18,-1.88,50.29%,6.31%,128.31,1.27,Abyss,Platinum
harborHarbor,Controller,Bad / D,26.03,1.49,48.61%,0.67%,129.9,1.31,Abyss,Platinum
isoIso,Duelist,Good / A,58.26,1.43,50.40%,4.34%,166.62,1.41,Abyss,Platinum
jettJett,Duelist,God / S+,97.4,0.36,50.26%,12.10%,158.62,1.34,Abyss,Platinum
kayoKAY/O,Initiator,Fair / B,36.04,2.01,48.78%,1.89%,133.46,1.45,Abyss,Platinum
killjoyKilljoy,Sentinel,Bad / D,32.0,0.85,49.78%,1.20%,137.26,1.23,Abyss,Platinum
neonNeon,Duelist,Good / A,48.59,1.22,49.97%,3.77%,147.0,1.27,Abyss,Platinum
omenOmen,Controller,Strong / S,61.22,-1.78,49.17%,6.27%,143.85,1.38,Abyss,Platinum
phoenixPhoenix,Duelist,Fair / B,42.51,0.34,50.04%,1.87%,158.1,1.4,Abyss,Platinum
razeRaze,Duelist,Fair / B,42.1,-1.63,49.22%,2.64%,154.49,1.3,Abyss,Platinum
reynaReyna,Duelist,God / S+,91.4,0.94,50.38%,10.56%,161.0,1.43,Abyss,Platinum
sageSage,Sentinel,Good / A,47.44,2.54,50.15%,3.95%,125.99,1.31,Abyss,Platinum
skyeSkye,Initiator,Weak / C,33.22,2.37,49.46%,1.43%,130.44,1.35,Abyss,Platinum
sovaSova,Initiator,Strong / S,61.44,1.79,50.34%,5.72%,141.72,1.39,Abyss,Platinum
viperViper,Controller,Bad / D,26.83,-2.69,48.89%,0.26%,139.2,1.35,Abyss,Platinum
vyseVyse,Sentinel,Good / A,46.92,-10.63,50.11%,3.20%,140.74,1.39,Abyss,Platinum
yoruYoru,Duelist,Weak / C,32.69,-2.22,48.36%,1.75%,142.78,1.28,Abyss,Platinum
astraAstra,Controller,Good / A,52.55,+1.32,51.29%,3.99%,144.78,1.58,Abyss,Radiant
breachBreach,Initiator,Fair / B,47.11,+0.51,54.59%,0.44%,142.69,1.64,Abyss,Radiant
brimstoneBrimstone,Controller,Bad / D,30.04,NEW,45.83%,0.03%,109.21,1.24,Abyss,Radiant
chamberChamber,Sentinel,Fair / B,47.62,+4.94,51.84%,2.83%,144.21,1.31,Abyss,Radiant
cloveClove,Controller,Strong / S,68.99,+3.54,50.43%,10.18%,159.77,1.56,Abyss,Radiant
cypherCypher,Sentinel,Strong / S,67.37,+7.76,50.61%,10.74%,142.12,1.35,Abyss,Radiant
deadlockDeadlock,Sentinel,Good / A,50.68,+4.20,52.00%,3.67%,145.36,1.37,Abyss,Radiant
fadeFade,Initiator,Bad / D,15.58,NEW,40.00%,0.05%,63.2,0.76,Abyss,Radiant
gekkoGekko,Initiator,Weak / C,41.69,-1.11,49.31%,2.00%,133.6,1.3,Abyss,Radiant
harborHarbor,Controller,Weak / C,35.81,NEW,48.38%,0.46%,130.48,1.24,Abyss,Radiant
isoIso,Duelist,Strong / S,66.39,+4.64,50.33%,9.60%,168.01,1.37,Abyss,Radiant
jettJett,Duelist,God / S+,91.19,+12.67,50.63%,19.16%,162.01,1.35,Abyss,Radiant
kayoKAY/O,Initiator,Fair / B,41.83,-1.75,47.42%,1.65%,139.72,1.6,Abyss,Radiant
killjoyKilljoy,Sentinel,Weak / C,39.92,-4.08,55.07%,0.16%,112.4,1.14,Abyss,Radiant
neonNeon,Duelist,Good / A,49.29,-0.56,52.30%,2.85%,151.77,1.36,Abyss,Radiant
omenOmen,Controller,Fair / B,47.7,+4.70,49.95%,3.51%,135.9,1.43,Abyss,Radiant
phoenixPhoenix,Duelist,Bad / D,31.8,+16.55,44.91%,0.46%,136.32,1.15,Abyss,Radiant
razeRaze,Duelist,Fair / B,46.95,+14.59,55.21%,0.48%,160.1,1.36,Abyss,Radiant
reynaReyna,Duelist,Good / A,58.52,+3.75,50.49%,6.55%,163.14,1.41,Abyss,Radiant
sageSage,Sentinel,Weak / C,41.22,-17.92,50.44%,0.26%,163.62,1.33,Abyss,Radiant
skyeSkye,Initiator,Not Placed,0.0,NEW,0.00%,0.00%,0.0,0.0,Abyss,Radiant
sovaSova,Initiator,God / S+,79.52,+12.53,50.34%,14.99%,147.21,1.45,Abyss,Radiant
viperViper,Controller,Good / A,52.42,+0.80,59.42%,0.08%,154.48,1.63,Abyss,Radiant
vyseVyse,Sentinel,Fair / B,44.13,-1.89,49.51%,1.77%,147.23,1.49,Abyss,Radiant
yoruYoru,Duelist,Good / A,51.67,+3.38,51.34%,4.09%,151.88,1.38,Abyss,Radiant
astraAstra,Controller,Fair / B,34.95,0.25,49.73%,1.13%,137.08,1.42,Abyss,Silver
breachBreach,Initiator,Fair / B,40.27,-0.18,49.85%,2.53%,133.71,1.34,Abyss,Silver
brimstoneBrimstone,Controller,Fair / B,40.08,5.64,49.84%,1.92%,136.16,1.44,Abyss,Silver
chamberChamber,Sentinel,Good / A,56.29,-1.13,50.01%,4.55%,149.31,1.37,Abyss,Silver
cloveClove,Controller,God / S+,89.92,-0.96,51.37%,8.75%,153.94,1.49,Abyss,Silver
cypherCypher,Sentinel,Strong / S,64.24,1.25,50.34%,6.58%,133.04,1.34,Abyss,Silver
deadlockDeadlock,Sentinel,Fair / B,39.58,2.37,50.34%,2.27%,133.0,1.28,Abyss,Silver
